ForecastDate,PredictedClicks,PredictedImpressions,ForecastPageCount,ActualClicks,ActualImpressions,ActualKnownPageCount,ClickError,ImpressionError,CTREnsemblePredictedImpressions
2026-07-25,1300.5838299999998,69054.805836,2144.4500000000003,894.2399999999999,36019.159999999996,1144.4999999999998,466.35726000000005,49197.408903999996,54086.00464651851
2026-07-26,1454.2062079999998,69376.861116,2144.4500000000003,917.2399999999999,37233.68,1155.3999999999999,613.049376,48380.318824,54338.24897853335
2026-07-27,1363.3633649999997,69491.832516,2144.4500000000003,887.8,39020.079999999994,1146.6799999999998,543.8655299999999,46735.79842399999,54428.29837624485
2026-07-28,1239.69573,68272.395708,2144.4500000000003,831.68,37660.56,1156.4899999999998,467.4690600000001,46590.481512,53473.1951931259
2026-07-29,1221.474436,67904.326582,2144.4500000000003,832.5999999999999,37267.32,1154.31,446.02519200000006,46529.50854799999,53184.911297196144
2026-07-30,1233.525202,67843.93205199999,2144.4500000000003,813.28,36007.56,1110.7099999999998,480.9526439999999,47714.739127999994,53137.60830661266
2026-07-31,1208.3268469999998,67743.53601,2144.4500000000003,800.4,33511.24,1028.9599999999998,466.988334,50087.16614,53058.97481067611
2026-08-01,1318.5089189999999,68930.462354,2144.4500000000003,832.5999999999999,36136.32,1117.2499999999998,554.7891180000001,48926.803755999994,53988.61472464706
2026-08-02,1413.6291259999998,69754.80306199999,2144.4500000000003,902.52,38362.36,1118.34,583.8873719999999,47718.03526799999,54634.26559316284
2026-08-03,1298.9155269999999,70172.07846199999,2144.4500000000003,843.64,36262.759999999995,1143.4099999999999,520.587294,50332.570867999995,54961.08946805544
2026-08-04,1236.942889,69164.543504,2144.4500000000003,827.0799999999999,35679.28,1181.56,469.4834580000001,49672.709856,54171.95481246992
2026-08-05,1255.6709619999997,68870.175078,2144.4500000000003,852.8399999999999,35845.159999999996,1091.09,461.9153639999999,49143.566692,53941.39573893872
2026-08-06,1299.105444,68521.67082999999,2144.4500000000003,921.8399999999999,36364.84,1055.12,434.1001680000001,48193.81762,53668.43570163986
2026-08-07,1267.646562,68599.368222,2144.4500000000003,797.64,33318.68,1056.2099999999998,536.538564,51335.859508,53729.29086521408
2026-08-08,1382.773574,69761.175228,2144.4500000000003,787.52,35172.36,1035.4999999999998,676.8020280000001,50915.89879199999,54639.25648403151
2026-08-09,1530.054708,70185.426838,2144.4500000000003,897.92,39533.96,1156.4899999999998,719.486376,47077.843332,54971.54435700371
2026-08-10,1417.1053259999999,70340.329438,2144.4500000000003,974.28,40927.119999999995,1137.9599999999998,508.2237720000001,45875.83973200001,55092.86918938765
2026-08-11,1359.9561429999999,69145.502394,2144.4500000000003,1003.7199999999999,41369.079999999994,1207.7199999999998,411.52644599999996,43959.412316,54157.0411862354
2026-08-12,1365.753844,68776.21098599999,2144.4500000000003,1130.6799999999998,44643.759999999995,1192.4599999999998,277.2649679999999,40229.011004,53867.79995867416
2026-08-13,1370.6142449999998,68743.274232,2144.4500000000003,1032.24,44422.2,1196.82,391.85289000000006,40409.925648,53842.00280511883
2026-08-14,1298.5083929999998,68668.107884,2144.4500000000003,968.7599999999999,40898.119999999995,1160.85,381.410946,43841.247176,53783.13003879978
2026-08-15,1373.9952589999998,69935.81387999999,2144.4500000000003,1056.1599999999999,41768.119999999995,1156.4899999999998,369.12259800000004,44535.65032,54776.03924417663
2026-08-16,1471.536521,70343.407656,2144.4500000000003,1129.76,44378.119999999995,1232.7899999999997,396.8545620000001,42428.638384,55095.28015139145
